Bitcoin,"$25,694.01"
BNB,$211.66
Ethereum,"$1,607.43"
XRP,$0.4963
Tether USDt,$1.00
USD Coin,$1.00
TRON,$0.07791
Cardano,$0.2467
Polkadot,$4.13
Shiba Inu,$0.000007316
Polygon,$0.5174
Stellar,$0.1306
Binance USD,$1.00
Toncoin,$1.74
Dogecoin,$0.06123
Chainlink,$6.00
Filecoin,$3.08
Cosmos,$6.64
Litecoin,$60.58
Wrapped Bitcoin,"$25,698.71"
Cronos,$0.05187
Solana,$17.93
OKB,$41.37
$3.84
Quant,$96.92
TrueUSD,$0.9986
Internet Computer,$3.08
Ethereum Classic,$14.97
Bitcoin Cash,$187.81
Aave,$53.90
NEAR Protocol,$1.13
Lido DAO,$1.47
Avalanche,$9.47
Uniswap,$4.19
USDD,$0.9966
VeChain,$0.01513
Stacks,$0.448
Monero,$141.97
Mantle,$0.4082
Hedera,$0.04757
Immutable,$0.5087
Neo,$7.02
Algorand,$0.09027
Aptos,$5.15
8329
Injective,$6.56
Arbitrum,$0.8358
Maker,"$1,116.83"
Decentraland,$0.281
MultiversX,$23.47
Chiliz,$0.0573
Tether Gold,"$1,925.90"
Rocket Pool,$22.78
EOS,$0.561
5
KuCoin Token,$4.09

Kava,$0.6345
Render,$1.46
Synthetix,$2.13
GateToken,$3.83
Sui,$0.4502
Tezos,$0.6725
Casper,$0.03354
THORChain,$1.53
Trust Wallet Token,$0.7632
The Sandbox,$0.2929
Gemini Dollar,$0.9979
Klaytn,$0.1302
IOTA,$0.1704
eCash,$0.00002251
PAX Gold,"$1,893.10"
Dash,$25.41
GMX,$30.88
Axie Infinity,$4.37
Conflux,$0.12
Bitcoin SV,$29.41
Pax Dollar,$0.992
Curve DAO Token,$0.4224
Frax Share,$5.12
SafePal,$0.6025
Nexo,$0.5668
Terra Classic,$0.00005896
Theta Network,$0.6035
Basic Attention Token,$0.1642
ApeCoin,$1.24

Zcash,$24.37
MX TOKEN,$2.41
Compound,$36.63
Mina,$0.3725
Ethereum Name Service,$7.39
BitTorrent(New),$0.0...03961
Flow,$0.4136
93
Network,$0.03868
tomiNet,$3.30
9
Arweave,$4.00
APENFT,$0.0...03108
Gala,$0.01448
Theta Fuel,$0.03096
Fetch.ai,$0.2231
Convex Finance,$2.51
Enjin Coin,$0.2344
1inch Network,$0.2375
dYdX,$1.92
Waves,$1.52
WOO Network,$0.1551
NEM,$0.02396
Bitcoin Gold,$12.40
Ankr,$0.01809
Osmosis,$0.335
Flare,$0.0124
JasmyCoin,$0.003592
Akash Network,$0.9644
Bone ShibaSwap,$0.9021
Livepeer,$6.27
Gnosis,$99.94
Kusama,$18.48
Threshold,$0.01684
Chia,$27.75
Ocean Protocol,$0.312
Golem,$0.1636
Celo,$0.4097
Helium,$1.39
$0.1761
Loopring,$0.1834EthereumPoW,$1.31
yearn.finance,"$5,226.68"
Ontology,$0.1561
Mask Network,$2.50
JUST,$0.02036
Biconomy,$0.1983
Siacoin,$0.002749
Kadena,$0.5166
Ravencoin,$0.01464
FLOKI,$0.00001654
Blur,$0.177
DAO Maker,$0.7548
0x Protocol,$0.1656
Decred,$12.81
Balancer,$3.28
MAGIC,$0.45
Holo,$0.001041
Storj,$0.2968
TerraClassicUSD,$0.01273
Audius,$0.1498
ssv.network,$14.54
UMA,$1.40
IOST,$0.006843
Vulcan Forged PYR,$3.53
Band Protocol,$0.9992
Terra,$0.4013
Hive,$0.273
ICON,$0.1599
Galxe,$1.11
API3,$1.03
WAX,$0.03775
IoTeX,$0.01485
Pundi X (New),$0.3318
Celer Network,$0.01145
Flux,$0.3317
Ribbon Finance,$0.1885
Stargate Finance,$0.5232
Moonbeam,$0.1765
Nervos Network,$0.002692
Numeraire,$13.07
Merit Circle,$0.2911
Illuvium,$40.25
Axelar,$0.3477
Cartesi,$0.1209
Harmony,$0.009311
SushiSwap,$0.57
Lisk,$0.6897
Status,$0.02168
DigiByte,$0.006358
SKALE,$0.02269
Reserve Rights,$0.001741
Everscale,$0.05247
MobileCoin,$0.5186
Metal DAO,$1.24
BORA,$0.1105
TomoChain,$1.19
Alchemy Pay,$0.01333
Core,$0.5256
Kyber Network Crystal v2,$0.5212
Centrifuge,$0.2421
